PassengerId1,PassengerId2,Ticket
P269,P333,PC 17582
P269,P610,PC 17582
P333,P610,PC 17582
P140,P790,PC 17593
P35,P376,PC 17604
P312,P743,PC 17608
P335,P661,PC 17611
P259,P680,PC 17755
P259,P738,PC 17755
P680,P738,PC 17755
P381,P558,PC 17757
P381,P701,PC 17757
P381,P717,PC 17757
P558,P701,PC 17757
P558,P717,PC 17757
P701,P717,PC 17757
P308,P506,PC 17758
P270,P326,PC 17760
P270,P374,PC 17760
P326,P374,PC 17760
P538,P545,PC 17761
P11,P395,PP 9549
P818,P828,S.C./PARIS 2079
P773,P842,S.O./P.P. 3
P73,P121,S.O.C. 14879
P73,P386,S.O.C. 14879
P73,P656,S.O.C. 14879
P73,P666,S.O.C. 14879
P121,P386,S.O.C. 14879
P121,P656,S.O.C. 14879
P121,P666,S.O.C. 14879
P386,P656,S.O.C. 14879
P386,P666,S.O.C. 14879
P656,P666,S.O.C. 14879
P44,P609,SC/Paris 2123
P44,P686,SC/Paris 2123
P609,P686,SC/Paris 2123
P143,P404,STON/O2. 3101279
P784,P889,W./C. 6607
P87,P148,W./C. 6608
P87,P437,W./C. 6608
P87,P737,W./C. 6608
P148,P437,W./C. 6608
P148,P737,W./C. 6608
P437,P737,W./C. 6608
P541,P746,WE/P 5735
